  ,!=,#,(,),*,+,£¬,-,/,;,<,<=,=,==,>,>=,else,identifier,if,int,num,return,void,while,{,},Actual_parameter_list,Add_expression,Add_expression_loop,Assign_sentence,Call_func,Call_func_check,Const_value,Create_Function_table,Exit_Function_table,Expression,Expression_loop,FTYPE,Factor,Factor_loop,Formal_parameter,Formal_parameter_list,Function_stmt,If_expression,If_sentence,If_sentence_m0,If_sentence_m1,If_sentence_n,Internal_stmt,Internal_variable_stmt,Item,Item_loop,Parameter,Parameter_loop,Program,Relop,Return_expression,Return_sentence,Sentence,Sentence_block,Sentence_block_m,Sentence_loop,Sentence_string,Start,Stmt,Stmt_loop,Stmt_string,Stmt_type,Variavle_stmt,While_sentence,While_sentence_m1,While_sentence_m2
state 87,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r36,r36,error,error,r36,error,r36,error,r36,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 88,error,error,error,error,error,error,error,error,error,s90,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 89,error,error,error,error,error,error,error,error,error,r35,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 90,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r33,r33,error,error,r33,error,r33,error,r33,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 91,error,error,r46,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r46,error,error,r46,error,error,error,error,error,error,error,s43,error,error,error,error,error,error,s92,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 92,error,error,error,error,error,error,error,error,error,s93,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 93,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r32,r32,error,error,r32,error,r32,error,r32,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 94,error,r20,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r20,r20,r20,r20,error,r20,r20,r20,error,r20,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 95,error,r11,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r11,error,error,r11,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 96,error,error,r9,error,error,error,error,error,error,s100,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s99,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s97,s98,error,error,error
state 97,error,r5,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r5,error,error,r5,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 98,error,r7,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r7,error,error,r7,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 99,error,error,s10,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s101,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 100,error,r10,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r10,error,error,r10,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 101,error,r8,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r8,error,error,r8,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
