  ,!=,#,(,),*,+,£¬,-,/,;,<,<=,=,==,>,>=,else,identifier,if,int,num,return,void,while,{,},Actual_parameter_list,Add_expression,Add_expression_loop,Assign_sentence,Call_func,Call_func_check,Const_value,Create_Function_table,Exit_Function_table,Expression,Expression_loop,FTYPE,Factor,Factor_loop,Formal_parameter,Formal_parameter_list,Function_stmt,If_expression,If_sentence,If_sentence_m0,If_sentence_m1,If_sentence_n,Internal_stmt,Internal_variable_stmt,Item,Item_loop,Parameter,Parameter_loop,Program,Relop,Return_expression,Return_sentence,Sentence,Sentence_block,Sentence_block_m,Sentence_loop,Sentence_string,Start,Stmt,Stmt_loop,Stmt_string,Stmt_type,Variavle_stmt,While_sentence,While_sentence_m1,While_sentence_m2
state 46,r54,error,error,r54,error,s66,r54,s67,error,r54,r54,r54,error,r54,r54,r54,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 47,error,error,s50,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s51,error,error,s52,error,error,error,error,error,error,error,error,error,error,error,s49,error,error,error,error,error,s48,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 48,r58,error,error,r58,s64,r58,r58,r58,s65,r58,r58,r58,error,r58,r58,r58,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 49,r62,error,error,r62,r62,r62,r62,r62,r62,r62,r62,r62,error,r62,r62,r62,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 50,error,error,r46,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r46,error,error,r46,error,error,error,error,error,error,error,s43,error,error,error,error,error,error,s62,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 51,r66,error,s55,r66,r66,r66,r66,r66,r66,r66,r66,r66,error,r66,r66,r66,error,error,error,error,error,error,error,error,error,error,error,error,error,error,s54,error,error,error,error,error,error,s53,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 52,r73,error,error,r73,r73,r73,r73,r73,r73,r73,r73,r73,error,r73,r73,r73,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 53,r64,error,error,r64,r64,r64,r64,r64,r64,r64,r64,r64,error,r64,r64,r64,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 54,r65,error,error,r65,r65,r65,r65,r65,r65,r65,r65,r65,error,r65,r65,r65,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 55,error,error,r68,r68,error,error,error,error,error,error,error,error,error,error,error,error,error,r68,error,error,r68,error,error,error,error,error,error,error,error,error,error,s56,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 56,error,error,r71,r69,error,error,error,error,error,error,error,error,error,error,error,error,error,r71,error,error,r71,error,error,error,error,error,s57,error,error,error,error,error,error,error,error,error,s58,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 57,error,error,error,s61,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 58,error,error,r46,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r46,error,error,r46,error,error,error,error,error,error,error,s43,error,error,error,error,error,error,s59,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 59,error,error,error,r70,error,error,s60,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 60,error,error,r72,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r72,error,error,r72,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 61,r67,error,error,r67,r67,r67,r67,r67,r67,r67,r67,r67,error,r67,r67,r67,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 62,error,error,error,s63,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 63,r63,error,error,r63,r63,r63,r63,r63,r63,r63,r63,r63,error,r63,r63,r63,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 64,error,error,r60,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r60,error,error,r60,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 65,error,error,r61,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r61,error,error,r61,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 66,error,error,r56,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r56,error,error,r56,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 67,error,error,r57,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r57,error,error,r57,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
state 68,error,error,r47,error,error,error,error,error,error,error,error,error,error,error,error,error,error,r47,error,error,r47,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
